runid,config,wepp_id,topaz_id,summary_json_path,top_days_csv_path,late_max_abs_ofe_closure_residual_mm_max_abs,late_max_abs_ofe_closure_residual_mm_p99,late_max_abs_ofe_closure_residual_mm_p95,late_max_abs_ofe_closure_residual_mm_p90,late_max_surface_pulse_proxy_mm_max_abs,late_max_surface_pulse_proxy_mm_p99,late_max_qofe_to_q_ratio_max_abs,late_max_qofe_to_q_ratio_p99,closure_residual_pct_of_rm_total,closure_residual_total_mm,max_abs_ofe_closure_residual_mm_max_abs,closure_residual_mm_max_abs,closure_residual_mm_p99,n_ofe_max,n_ofe_min,late_outlier_ofe_id,outlier_is_outlet_ofe,outlier_is_first_ofe,outlier_is_interior_ofe,chain_subsurface_transfer_residual_m3_max_abs,chain_subsurface_transfer_residual_m3_p99,chain_surface_transfer_residual_m3_max_abs,chain_surface_transfer_residual_m3_p99,runoff_pass_vs_outlet_qofe_residual_m3_max_abs,runoff_pass_vs_outlet_qofe_residual_m3_p99,first_ofe_nonzero_subrin_days,first_ofe_nonzero_upstrmq_days,strict_chain_invariants_applicable,soilwater_to_porosity_fraction_max_abs,soilwater_to_porosity_fraction_p99,soilwater_minus_fc_mm_max_abs,soilwater_minus_wp_mm_max_abs,soilwater_gt_porositycap_days,soilwater_lt_wpstore_days,profile_order_fc_gt_porosity_days,profile_order_wp_gt_fc_days,precip_total_mm,runoff_reported_total_mm,lateral_reported_total_mm,et_reported_total_mm,storage_change_mm,requires_scientific_review_days,total_simulation_days,flagged_day_fraction,max_anomaly_year,max_anomaly_month,max_anomaly_julian,worst_review_day_year,worst_review_day_month,worst_review_day_julian,worst_review_day_reason,worst_review_day_late_residual_mm,worst_review_day_late_pulse_mm,worst_review_day_qofe_to_q_ratio,threshold_late_ofe_residual_mm,threshold_late_pulse_mm,threshold_late_qofe_to_q_ratio,threshold_late_ofe_window,family_primary,storage_saturation_observed,cluster_label,rule_cluster_agreement
cochlear-beriberi,disturbed9002-mofe,32,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H32/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H32/hillslope_mofe_daily_closure_audit_top_days.csv,126.53439999999992,20.103849229599945,8.703661500000036,2.2001102200000187,124.67439999999996,2.45,6.000003596434494,6.000002387308559,-0.0708073742543529,-47.42829573349755,126.53439999999992,62.47601483333342,13.78030126666665,6,6,6.0,True,False,False,0.0,0.0,0.0016199030001189,0.0,15.3401574294,0.0195792678120506,0,0,unknown_from_interchange,0.999531548105751,0.9879346665758156,415.915,534.505,0,0,0,0,67043.0,20862.67307950949,20744.701666666668,24985.033333333333,280.4316666666668,1,14975,0.0001,9,1,9,24.0,4.0,114.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,126.53439999999992,124.67439999999996,6.000000354823641,100.0,100.0,2.0,3,D2b1,False,2,disagree
cochlear-beriberi,disturbed9002-mofe,38,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H38/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H38/hillslope_mofe_daily_closure_audit_top_days.csv,279.57469999999995,22.242825280000044,9.69431699999999,3.3696203999999943,278.3647,2.671566292000001,9.000008529075618,9.000005281075548,-0.4179210519470395,-279.84944640945315,279.57469999999995,62.36846811111111,13.653854488888868,9,9,9.0,True,False,False,0.1240125000000205,0.0,0.0012401250005495,1.2401250003790665e-05,24.617758578750003,0.0307939350000515,0,0,unknown_from_interchange,0.9987880140275346,0.9803670523582316,380.3844444444445,456.4144444444445,0,0,0,0,67043.0,23734.528951248198,14520.625555555554,25134.137777777774,253.2455555555555,17,14975,0.0011,9,1,9,23.0,11.0,326.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,279.57469999999995,278.3647,9.000000813870965,100.0,100.0,2.0,3,D2b3,False,2,disagree
cochlear-beriberi,disturbed9002-mofe,67,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H67/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H67/hillslope_mofe_daily_closure_audit_top_days.csv,162.9019,20.8,9.201139430000044,2.865691600000012,159.93189999999998,6.249397709,7.000004865439324,7.000003039813262,0.077405726791016,51.88230302414431,162.9019,61.59714285714284,14.459657857142854,7,7,7.0,True,False,False,0.0,0.0,0.0014396900000974,1.439689999216398e-06,0.815913354165,0.0124588527999412,0,0,unknown_from_interchange,0.9964370416516386,0.9771910554444406,388.7771428571429,469.63714285714286,0,0,0,0,67043.0,14538.219681320286,23613.485714285714,24984.768571428576,244.0585714285715,1,14975,0.0001,9,1,9,39.0,5.0,122.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,162.9019,159.93189999999998,7.0,100.0,100.0,2.0,3,D6b,False,2,disagree
cochlear-beriberi,disturbed9002-mofe,80,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H80/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H80/hillslope_mofe_daily_closure_audit_top_days.csv,976.967,22.398896109999907,9.28004899999998,2.7568999999999626,974.547,6.5627793612000005,11.000009644410582,11.000004679391608,-5.11225132582357,-3426.78556431082,976.967,222.29891909090892,14.382405199999967,11,11,11.0,True,False,False,0.1161697000000003,0.0,0.0116169699995225,1.1616970013506034e-05,1.049284228098,0.0359558623180396,0,0,unknown_from_interchange,0.9990723878193218,0.99054938179836,415.6454545454546,534.2354545454546,0,0,0,0,67043.0,26594.073885406044,17951.98,25479.702727272725,282.09272727272725,42,14975,0.0028,13,5,129,13.0,5.0,129.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,976.967,974.547,11.000000364937,100.0,100.0,2.0,3,D6c,True,2,disagree
cochlear-beriberi,disturbed9002-mofe,84,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H84/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H84/hillslope_mofe_daily_closure_audit_top_days.csv,506.3042999999999,21.80460366000005,10.268667199999983,4.324700000000079,505.6942999999999,5.994690969799999,7.000005910153841,7.000003640021829,-0.2431156546107855,-162.54784907357345,506.3042999999999,129.47557142857147,13.371706200000087,7,7,7.0,True,False,False,0.0,0.0,0.0014527520006595,0.0,124.51704458480002,0.0181919103996871,0,0,unknown_from_interchange,0.9995894616592886,0.9943979110993248,276.1999999999999,433.5499999999999,0,0,0,0,67043.0,19106.141740051196,22600.971428571425,24918.63,215.6957142857142,2,14975,0.0001,23,2,32,23.0,2.0,32.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,506.3042999999999,505.6942999999999,6.99999889512285,100.0,100.0,2.0,3,D4,True,2,disagree
cochlear-beriberi,disturbed9002-mofe,106,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H106/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H106/hillslope_mofe_daily_closure_audit_top_days.csv,107.00289999999998,20.95037820000006,10.034277700000011,3.962487800000012,104.94289999999998,3.24,7.000004756116536,7.0000027241212734,-0.0110610617836326,-7.414348857005908,107.00289999999998,66.49714285714293,15.61435597142864,7,7,7.0,True,False,False,0.0,0.0,0.0016717840003366,0.0,16.472059331672,0.0197577244480135,0,0,unknown_from_interchange,0.99865426546743,0.982051648950668,415.4,533.99,0,0,0,0,67043.00000000001,18991.270753962748,22577.474285714285,25058.21142857143,256.21571428571434,1,14975,0.0001,9,1,9,6.0,5.0,128.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,107.00289999999998,104.94289999999998,6.999998059515521,100.0,100.0,2.0,3,D2b1,False,2,disagree
cochlear-beriberi,disturbed9002-mofe,112,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H112/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H112/hillslope_mofe_daily_closure_audit_top_days.csv,103.04569999999998,20.30260000000003,9.15849199999996,3.1092604000000006,100.7557,4.490400000000009,7.000005882456749,7.000003615260514,0.1258234857899208,84.3530966261464,103.04569999999998,66.49428571428564,14.646337428571377,7,7,7.0,True,False,False,0.0,0.0,0.0023268550003194,0.0,22.992429097715,0.0281126469100172,0,0,unknown_from_interchange,0.979975979050582,0.9493674952112806,370.8299999999999,446.86,0,0,0,0,67043.00000000001,15626.177573714616,22856.63428571429,24742.211428571434,218.01428571428573,1,14975,0.0001,9,1,9,6.0,5.0,128.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,103.04569999999998,100.7557,7.0,100.0,100.0,2.0,3,D2b1,False,2,disagree
cochlear-beriberi,disturbed9002-mofe,120,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H120/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H120/hillslope_mofe_daily_closure_audit_top_days.csv,204.7858,20.40878976000006,9.204975199999977,3.235180000000053,202.7258,2.01,7.000005095521928,7.000002924332514,-0.0929123103296491,-62.28895306371538,204.7858,66.49907328571413,14.69529634285728,7,7,7.0,True,False,False,0.0,0.0,0.001542750000226,0.0,34.97815365,0.030249367499905,0,0,unknown_from_interchange,0.999569055190656,0.9940299920604256,441.3700000000001,589.7400000000001,0,0,0,0,67043.0,26096.69258420724,15493.807142857142,25058.32857142857,279.9985714285714,2,14975,0.0001,9,1,9,6.0,5.0,128.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,204.7858,202.7258,6.999999299033321,100.0,100.0,2.0,3,D2b1,True,2,disagree
cochlear-beriberi,disturbed9002-mofe,125,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H125/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H125/hillslope_mofe_daily_closure_audit_top_days.csv,291.10980000000006,20.92391059999996,9.31080499999995,3.244609199999976,290.32980000000003,3.6599999999999993,9.00000791000871,9.000004375922735,-0.3512859050990038,-235.5042760732209,291.10980000000006,66.49777777777787,14.664408533333388,9,9,9.0,True,False,False,0.110993900000011,0.0,0.0011099390007984,1.1099390007984766e-05,5.740571209830001,0.0268114617601395,0,0,unknown_from_interchange,0.9994353136981006,0.991479180907659,441.2799999999999,589.6499999999999,0,0,0,0,67043.0,27627.92784408273,14172.823333333332,25058.43111111111,266.65777777777777,10,14975,0.0007,9,1,9,23.0,11.0,326.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,291.10980000000006,290.32980000000003,9.000000788847174,100.0,100.0,2.0,3,D2b3,True,2,disagree
cochlear-beriberi,disturbed9002-mofe,141,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H141/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H141/hillslope_mofe_daily_closure_audit_top_days.csv,114.99620000000002,20.42731366000001,9.200000000000026,3.172396800000023,112.9362,4.0,6.00000458740059,6.000002887209078,-0.0208696440328991,-13.991165186331026,114.99620000000002,66.49666666666674,14.63832270000003,6,6,6.0,True,False,False,0.0,0.0,0.0017700650005281,0.0,17.450969941295003,0.0175704580699586,0,0,unknown_from_interchange,0.9994813985861288,0.990912101609484,423.7200000000001,622.0000000000001,0,0,0,0,67043.00000000001,21640.83977095003,19976.273333333334,25058.435000000005,225.22000000000003,1,14975,0.0001,9,1,9,6.0,5.0,128.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,114.99620000000002,112.9362,6.000000367434096,100.0,100.0,2.0,3,D2b1,True,2,disagree
cochlear-beriberi,disturbed9002-mofe,146,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H146/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H146/hillslope_mofe_daily_closure_audit_top_days.csv,1247.7900000000004,20.835106580000087,9.24900999999997,3.2425300000000727,1247.1800000000003,1.4600000000000002,11.000010984084062,11.000006135707816,-2.661525380817068,-1784.3013020807275,1247.7900000000004,337.8434636363636,14.67560181818176,11,11,11.0,True,False,False,0.0,0.0,0.0090837300012935,9.083730002856782e-06,44.98001484576,0.0314907553798593,0,0,unknown_from_interchange,0.9996042252367824,0.9956021855699776,423.8100000000002,622.0900000000003,0,0,0,0,67043.00000000001,33110.69786820654,10389.08272727273,24914.901818181825,252.9481818181819,9,14975,0.0006,23,2,32,23.0,2.0,32.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,1247.7900000000004,1247.1800000000003,11.000002555936677,100.0,100.0,2.0,3,D1,True,2,disagree
cochlear-beriberi,disturbed9002-mofe,148,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H148/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H148/hillslope_mofe_daily_closure_audit_top_days.csv,208.87090000000003,20.52788659999999,9.199390999999972,3.176988759999991,206.81090000000003,2.83,7.000005565736215,7.00000324592449,-0.0986372141552952,-66.12712673971303,208.87090000000003,66.50022828571404,14.667207971428546,7,7,7.0,True,False,False,0.0,0.0,0.0016977440009213,0.0,40.11782653952,0.0286700341122195,0,0,unknown_from_interchange,0.9996042252367828,0.9937169294117192,423.81000000000006,622.0899999999999,0,0,0,0,67043.0,25375.422252791264,16265.112857142854,25058.485714285714,238.33857142857124,2,14975,0.0001,9,1,9,6.0,5.0,128.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,208.87090000000003,206.81090000000003,6.999999761465062,100.0,100.0,2.0,3,D2b1,True,2,disagree
cochlear-beriberi,disturbed9002-mofe,150,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H150/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H150/hillslope_mofe_daily_closure_audit_top_days.csv,440.6815,21.101874799999987,9.401338279999935,3.2993999999999923,438.6215,3.273392980000001,9.000006632520241,9.000003332125154,-0.7284794565195544,-488.37745180355466,440.6815,120.29522222222236,14.682338999999809,9,9,9.0,True,False,False,0.1159983999999951,0.0,0.0011599840008784,1.1599840000542372e-05,0.402245919998677,0.0295868532159011,0,0,unknown_from_interchange,0.9994813985861286,0.9941352852156136,423.7200000000001,622.0000000000002,0,0,0,0,67043.00000000001,26539.949196234127,15531.194444444449,25058.553333333337,249.5844444444446,15,14975,0.001,6,5,128,6.0,5.0,128.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,440.6815,438.6215,8.999996266948056,100.0,100.0,2.0,3,D3,True,2,disagree
cochlear-beriberi,disturbed9002-mofe,152,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H152/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H152/hillslope_mofe_daily_closure_audit_top_days.csv,254.25040000000004,20.72482220000012,9.203333000000011,3.2215078000000315,253.64040000000008,2.3200000000000003,7.000004791209364,7.000002617479002,-0.2797907160500527,-187.57355464971204,254.25040000000004,66.49714285714292,14.667895428571384,7,7,7.0,True,False,False,0.0,0.0,0.0039085280004655,0.0,25.25239358616,0.0423806877122524,0,0,unknown_from_interchange,0.9996178726424108,0.995149049165754,423.8200000000001,622.1,0,0,0,0,67043.00000000001,20240.514837591767,21534.877142857145,25058.485714285714,244.38142857142867,6,14975,0.0004,9,1,9,23.0,2.0,32.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,254.25040000000004,253.64040000000008,6.999999659441879,100.0,100.0,2.0,3,D2b3,True,2,disagree
cochlear-beriberi,disturbed9002-mofe,154,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H154/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H154/hillslope_mofe_daily_closure_audit_top_days.csv,539.9034000000001,21.101275399999984,9.405754999999896,3.298199999999976,536.4134000000001,1.4800000000000004,9.000006238820257,9.000003172374642,-0.8828067510398736,-591.8389035017818,539.9034000000001,89.93954444444428,14.680046533333336,9,9,9.0,True,False,False,0.0,0.0,0.0015898370006652,1.5898369994715722e-05,0.4898393999992549,0.0384984446999169,0,0,unknown_from_interchange,0.9996042252367824,0.9951871362587308,423.8100000000001,622.0900000000001,0,0,0,0,67043.00000000001,27567.378222421547,14599.020000000002,25058.553333333337,257.741111111111,16,14975,0.0011,6,1,14,6.0,1.0,14.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,539.9034000000001,536.4134000000001,8.999999312964565,100.0,100.0,2.0,3,D3,True,2,disagree
cochlear-beriberi,disturbed9002-mofe,202,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H202/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H202/hillslope_mofe_daily_closure_audit_top_days.csv,1207.1659999999997,21.300932320000022,9.664017999999995,3.5229559999999887,1206.3359999999998,4.316064886,12.00000992890901,12.000005922877708,-2.0611951335380736,-1381.5987952385055,1207.1659999999997,301.6005000000001,14.769709366666667,12,12,12.0,True,False,False,0.0,0.0,0.0109484200002043,1.09484200017107e-05,39.43892404816,0.0319493263279673,0,0,unknown_from_interchange,0.9980704483254248,0.9799396522869122,380.0200000000001,456.05000000000007,0,0,0,0,67043.0,22334.10110134613,17274.024166666666,24991.751666666663,239.8708333333333,23,14975,0.0015,23,2,32,23.0,2.0,32.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,1207.1659999999997,1206.3359999999998,12.000002291494743,100.0,100.0,2.0,3,D1,False,2,disagree
cochlear-beriberi,disturbed9002-mofe,215,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H215/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H215/hillslope_mofe_daily_closure_audit_top_days.csv,252.47449999999984,21.146607499999988,9.86899097999994,3.987530000000065,251.87449999999995,3.460000000000001,8.000006577086745,8.000004302172934,-0.1284795949432064,-86.1189410133679,252.47449999999984,66.49875000000009,15.525048592499992,8,8,8.0,True,False,False,0.0,0.0,0.0011140600004182,0.0,9.030994816860002,0.004930937919965,0,0,unknown_from_interchange,0.9986542654674296,0.9826343179340422,415.39999999999975,533.9899999999998,0,0,0,0,67043.0,18341.60361044288,23311.905,25058.283749999995,253.19249999999997,4,14975,0.0003,9,1,9,23.0,2.0,32.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,252.47449999999984,251.87449999999995,8.000000783812393,100.0,100.0,2.0,3,D2b3,False,2,disagree
cochlear-beriberi,disturbed9002-mofe,218,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H218/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H218/hillslope_mofe_daily_closure_audit_top_days.csv,267.8565,20.300000000000008,9.065467700000063,3.196434000000011,265.7965,2.2300000000000004,8.000006835269993,8.000004635569551,-0.0948825298343307,-63.61005687450214,267.8565,67.20833749999998,14.645753299999994,8,8,8.0,True,False,False,0.1248797000000081,0.0,0.0012487970002439,0.0,12.200725460451,0.014845957114012,0,0,unknown_from_interchange,0.9941866057998392,0.9705979116381576,488.08625,545.68625,0,0,0,0,67043.0,17689.343104403677,23873.4325,25056.97,321.68500000000006,1,14975,0.0001,6,5,128,6.0,5.0,128.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,267.8565,265.7965,8.000002931167396,100.0,100.0,2.0,3,D2b1,False,2,disagree
