AJ000037978,48.6000,39.7000
ASN00001013,128.1247,-15.4872
ASN00001023,127.9806,-16.0086
ASN00001025,126.3114,-15.3797
ASN00002001,128.9172,-16.5039
ASN00002019,126.8617,-18.6253
ASN00002020,127.5011,-18.1894
ASN00002060,128.4150,-16.0397
ASN00002062,128.0314,-18.4236
ASN00003015,123.9956,-17.3681
ASN00003020,124.3992,-18.5000
ASN00003024,123.7383,-17.9464
ASN00003030,121.7803,-18.6844
ASN00003041,122.7128,-17.6925
ASN00003043,125.9206,-18.8789
ASN00003048,125.5264,-18.9158
ASN00003057,123.0086,-16.4514
ASN00004008,119.2431,-20.6392
ASN00004028,119.5811,-20.1078
ASN00004035,117.1456,-20.7767
ASN00004046,120.2044,-20.6739
ASN00004089,117.1428,-20.6744
ASN00005004,114.1108,-22.3761
ASN00005006,116.2903,-22.9119
ASN00005012,117.0656,-21.5906
ASN00005029,116.3928,-21.6767
ASN00005061,116.7483,-20.7278
ASN00005078,114.8211,-21.7672
ASN00005082,116.2575,-21.0544
ASN00006000,115.3092,-25.0417
ASN00006013,114.3181,-26.6972
ASN00006015,114.0781,-24.4447
ASN00006019,114.4322,-24.8061
ASN00006021,115.6072,-24.4508
ASN00006025,114.1667,-26.4008
ASN00006038,114.4375,-23.3817
ASN00006039,113.9714,-23.8497
ASN00006058,115.5147,-27.4278
ASN00006069,115.9267,-26.5903
ASN00006072,115.0414,-23.0314
ASN00006079,114.3853,-25.0881
ASN00006099,115.9561,-26.8936
ASN00007010,116.5714,-28.6097
ASN00007027,116.3400,-28.2494
ASN00007038,117.7842,-26.2750
ASN00007041,116.9047,-25.1303
ASN00007047,118.2675,-28.4467
ASN00007049,117.3339,-26.3736
ASN00007059,118.2408,-24.2297
ASN00007063,117.0344,-28.5253
ASN00007068,117.2906,-29.4250
ASN00007071,116.6514,-28.0531
ASN00007089,116.1606,-27.0878
ASN00007099,118.7803,-27.1308
ASN00007124,116.2083,-25.2806
ASN00007129,116.8856,-27.8036
ASN00007134,118.9842,-26.7950
ASN00007157,117.0156,-27.7744
ASN00007160,119.7639,-26.2628
ASN00007168,117.7572,-29.0675
ASN00007181,120.0108,-23.9775
ASN00007190,117.8281,-29.3892
ASN00007191,119.7994,-23.4531
ASN00007197,118.3111,-28.2817
ASN00007600,117.8425,-28.1156
ASN00008033,115.8172,-28.7031
ASN00008061,116.6328,-30.2842
ASN00008067,116.2003,-29.9414
ASN00008231,116.1325,-29.4667
ASN00008261,115.1753,-29.0636
ASN00008264,116.8011,-29.5147
ASN00008268,114.9686,-27.9700
ASN00008269,114.7144,-28.2667
ASN00008271,115.9675,-28.8114
ASN00008274,114.8186,-28.4194
ASN00008276,115.1075,-29.2236
ASN00008278,115.3136,-30.0722
ASN00008280,114.6733,-27.5658
ASN00008281,116.6828,-30.3322
ASN00008284,116.1581,-30.8350
ASN00008286,114.6761,-28.2750
ASN00008294,115.2850,-28.2094
ASN00009045,115.6728,-31.5567
ASN00009105,115.7931,-31.7317
ASN00009111,116.0744,-32.4400
ASN00009112,116.0875,-31.3928
ASN00009152,115.7119,-30.5003
ASN00009168,116.1206,-32.1189
ASN00009177,115.4469,-31.1228
ASN00009181,116.0592,-31.8817
ASN00009183,115.5914,-31.4978
ASN00009186,115.7772,-31.7858
ASN00009193,115.5022,-32.0069
ASN00009199,114.9781,-29.9486
ASN00009207,116.1167,-32.0208
ASN00009211,115.3203,-30.2892
ASN00009215,115.7619,-31.9558
ASN00009216,116.0656,-32.0394
ASN00009225,115.8728,-31.9192
ASN00009242,115.9744,-32.3956
ASN00009630,117.1025,-34.2111
ASN00009635,117.0836,-34.3633
ASN00009647,117.2769,-34.9506
ASN00009652,121.1133,-33.7767
ASN00009679,115.7272,-32.9939
ASN00009690,116.5211,-33.7622
ASN00009715,123.0331,-33.8025
ASN00009730,121.3656,-33.6961
ASN00009752,117.3494,-34.7233
ASN00009765,117.3164,-34.4322
ASN00009771,115.4697,-33.7411
ASN00009772,121.2156,-33.7608
ASN00009794,120.6375,-33.8039
ASN00009798,120.4222,-33.8847
ASN00009800,121.8511,-33.8097
ASN00009816,121.3014,-33.7256
ASN00009829,120.3256,-33.8911
ASN00009832,118.0039,-34.9469
ASN00009837,118.6211,-34.4889
ASN00009847,122.7150,-33.7794
ASN00009865,118.8867,-34.3997
ASN00009868,120.8653,-33.7078
ASN00009870,122.2083,-33.9161
ASN00009893,116.0081,-32.9233
ASN00009899,118.0789,-34.8883
ASN00009904,116.1072,-34.5967
ASN00009906,116.2333,-34.1378
ASN00009914,116.6464,-33.3197
ASN00009915,115.9211,-32.9981
ASN00009916,115.8119,-33.6422
ASN00009917,115.7878,-33.7058
ASN00009922,121.1972,-33.6492
ASN00009924,116.4969,-34.2489
ASN00009930,118.0467,-34.8794
ASN00009954,122.0844,-33.8097
ASN00009963,115.0153,-33.6858
ASN00010007,117.8603,-30.8081
ASN00010018,117.1739,-30.5325
ASN00010024,116.8575,-31.1631
ASN00010047,118.1514,-31.0467
ASN00010056,116.4169,-31.8042
ASN00010072,117.6586,-31.7211
ASN00010083,118.1961,-31.3725
ASN00010122,117.4875,-31.8308
ASN00010160,117.1194,-31.4533
ASN00010195,116.7122,-29.2392
ASN00010244,116.4781,-31.7603
ASN00010250,116.9242,-31.1350
ASN00010251,118.0592,-31.2867
ASN00010287,117.5631,-31.5261
ASN00010289,117.4317,-31.7364
ASN00010504,117.5181,-34.0811
ASN00010520,117.0539,-33.6614
ASN00010536,117.8733,-32.3292
ASN00010592,118.4625,-33.1006
ASN00010603,118.2003,-32.4231
ASN00010607,118.1925,-32.7608
ASN00010614,117.1797,-32.9342
ASN00010618,119.1008,-33.1794
ASN00010626,117.0831,-32.5336
ASN00010633,120.0458,-33.5803
ASN00010647,117.3403,-33.3075
ASN00010703,118.1125,-33.9481
ASN00010707,118.9200,-33.9411
ASN00010725,117.6614,-33.4458
ASN00010806,118.2606,-33.2706
ASN00010823,117.6444,-32.2344
ASN00010849,118.8281,-34.2647
ASN00010851,119.2936,-32.8192
ASN00010869,120.1833,-33.5942
ASN00010870,119.6608,-33.6914
ASN00010874,117.2297,-34.0161
ASN00010875,117.1750,-33.9036
ASN00010880,118.9894,-34.3131
ASN00010895,119.9344,-33.3994
ASN00010896,120.1178,-33.4331
ASN00010897,118.5042,-34.2206
ASN00011019,126.3008,-32.2464
ASN00011032,125.2019,-31.5803
ASN00011041,125.2936,-30.7428
ASN00011048,125.3953,-32.1761
ASN00012032,121.6758,-29.0872
ASN00012051,121.9158,-29.8272
ASN00012062,121.6775,-28.3897
ASN00012066,121.0633,-30.3764
ASN00012082,121.0789,-28.0067
ASN00012096,119.3058,-28.1419
ASN00012106,121.6650,-31.0731
ASN00012112,119.9861,-27.5389
ASN00012176,120.9706,-28.6781
ASN00012187,121.8272,-29.4711
ASN00012205,120.5669,-29.7514
ASN00012221,118.8361,-31.3692
ASN00012255,122.2714,-33.5656
ASN00012260,121.0786,-33.5222
ASN00012267,121.2014,-33.5425
ASN00012280,121.6131,-27.7036
ASN00012283,121.1506,-28.7175
ASN00012291,120.9150,-33.4578
ASN00012293,122.6000,-33.6211
ASN00012297,122.5867,-33.4853
ASN00012298,119.4522,-31.7575
ASN00012306,122.9469,-33.5239
ASN00012308,122.0697,-33.3356
ASN00013024,122.8078,-26.5172
ASN00013032,121.3533,-25.6361
ASN00014073,131.4576,-13.5835
ASN00014092,131.1042,-13.2373
ASN00014170,130.8283,-12.4582
ASN00014180,132.9255,-11.5472
ASN00014183,130.9713,-12.8324
ASN00014218,130.8409,-12.4331
ASN00014222,131.0763,-12.6374
ASN00014227,130.9248,-12.3887
ASN00014246,130.9057,-12.3784
ASN00014505,135.7424,-14.2785
ASN00014509,136.8391,-12.2609
ASN00014610,133.1320,-14.9230
ASN00014613,133.4008,-15.8326
ASN00014628,134.6504,-16.4550
ASN00014636,132.9036,-16.5481
ASN00014707,137.9462,-17.2122
ASN00014708,136.3538,-15.6228
ASN00014713,137.8736,-19.1385
ASN00014715,135.8520,-16.6597
ASN00014807,131.7642,-16.6652
ASN00014823,129.8874,-17.2297
ASN00014852,129.3459,-17.9977
ASN00014853,129.0407,-15.9700
ASN00014913,130.4935,-13.7447
ASN00014919,132.7857,-14.5266
ASN00014939,131.8443,-14.8648
ASN00014940,131.3469,-14.4995
ASN00015085,135.9450,-18.6370
ASN00015140,133.8216,-19.4457
ASN00015147,135.6627,-17.7839
ASN00015151,137.2441,-19.2815
ASN00015502,134.4029,-21.0025
ASN00015521,134.4229,-23.2837
ASN00015545,134.9173,-22.9784
ASN00015551,135.4595,-22.8953
ASN00015562,133.4315,-24.3611
ASN00015579,135.4268,-24.0137
ASN00015596,134.0500,-22.9027
ASN00015603,133.3027,-25.8428
ASN00015608,134.6752,-21.0434
ASN00015611,131.1685,-22.7228
ASN00015616,134.4887,-23.5943
ASN00015627,134.2431,-25.2141
ASN00015642,133.0848,-24.1267
ASN00015648,133.8978,-23.6925
ASN00016088,133.2979,-27.3150
ASN00017007,135.5879,-27.6286
ASN00017051,138.6359,-30.7675
ASN00017089,138.2548,-27.7205
ASN00018023,135.7266,-34.2644
ASN00018040,136.4125,-33.1414
ASN00018046,135.7571,-33.5679
ASN00018069,134.8880,-33.6501
ASN00018079,134.2116,-32.7963
ASN00018187,136.4891,-32.9587
ASN00019100,139.2825,-32.7837
ASN00019103,138.1576,-32.6682
ASN00019104,138.6003,-33.0371
ASN00019107,138.7176,-31.3667
ASN00020048,140.2299,-32.4932
ASN00020052,139.6187,-32.0575
ASN00021001,138.6846,-34.0260
ASN00021003,138.4901,-33.8450
ASN00021045,138.2244,-33.5407
ASN00021111,138.5736,-33.5425
ASN00021117,138.1272,-34.0212
ASN00021123,138.7166,-33.9394
ASN00021124,138.2111,-33.1913
ASN00022009,137.5952,-34.7708
ASN00022037,137.7968,-34.3687
ASN00022045,137.8770,-34.5763
ASN00022837,137.2615,-35.7905
ASN00023076,138.2587,-34.4320
ASN00023081,138.5774,-34.7715
ASN00023309,138.8684,-34.5927
ASN00023354,139.0077,-34.3121
ASN00023359,138.5878,-34.1824
ASN00023373,139.0056,-34.4761
ASN00023713,138.7887,-35.0960
ASN00023718,138.7638,-35.4987
ASN00023733,138.8509,-35.0639
ASN00023735,138.6223,-35.3497
ASN00023799,138.7342,-35.2183
ASN00023808,138.6415,-35.3001
ASN00023825,138.8067,-35.5288
ASN00024001,140.4708,-34.2591
ASN00024024,140.5978,-34.4390
ASN00024028,140.6934,-34.0849
ASN00024029,140.1860,-34.2159
ASN00024519,138.9701,-35.4068
ASN00024542,139.2760,-34.7315
ASN00025000,140.5036,-34.7314
ASN00025009,140.8561,-34.7033
ASN00025017,140.1307,-34.9413
ASN00025041,140.5789,-34.5922
ASN00025051,140.0791,-34.5876
ASN00025538,140.5473,-36.1519
ASN00025543,139.8658,-35.5507
ASN00025550,140.8181,-36.4049
ASN00026018,140.3426,-37.5872
ASN00026026,139.7560,-37.1628
ASN00026050,140.1264,-37.3981
ASN00026053,140.1900,-36.9989
ASN00026071,140.1609,-37.2068
ASN00026079,140.9260,-37.0467
ASN00026094,139.9947,-36.9563
ASN00026111,140.4257,-37.9268
ASN00027015,142.6389,-12.4536
ASN00027031,142.3844,-10.8969
ASN00027034,142.6706,-12.6608
ASN00027049,142.6689,-13.6578
ASN00027050,142.5822,-11.7508
ASN00028022,143.6694,-16.5419
ASN00028023,144.1994,-14.9258
ASN00028027,143.4786,-15.6119
ASN00028031,143.5864,-14.7317
ASN00029001,139.8706,-18.5447
ASN00029004,139.5475,-17.7425
ASN00029012,142.2447,-18.2044
ASN00029016,142.5742,-18.8525
ASN00029045,142.5603,-17.8619
ASN00029047,138.6386,-19.6242
ASN00029051,141.9050,-20.0158
ASN00029054,142.6575,-18.2092
ASN00029057,141.7108,-17.1833
ASN00029068,139.1381,-18.1689
ASN00029089,140.6806,-20.1408
ASN00029091,140.1608,-19.8253
ASN00029094,139.3661,-19.6881
ASN00029100,139.2516,-18.6419
ASN00029106,139.7250,-20.1167
ASN00029110,141.8228,-15.6386
ASN00029111,141.3161,-16.9933
ASN00029113,141.6253,-18.0697
ASN00029114,142.2394,-19.6028
ASN00029130,139.5861,-20.9542
ASN00029131,139.8433,-20.0200
ASN00029136,140.4986,-21.3661
ASN00029144,141.5481,-20.4350
ASN00030006,143.7375,-20.6694
ASN00030020,141.8942,-21.2333
ASN00030027,144.1433,-18.8756
ASN00030057,144.3644,-21.2139
ASN00030081,143.1097,-20.2631
ASN00030084,144.1811,-17.3908
ASN00030094,145.6994,-20.6914
ASN00030099,144.6883,-19.9683
ASN00030112,143.2531,-18.8242
ASN00030123,143.5767,-20.8217
ASN00030130,145.6125,-19.8900
ASN00030136,145.8917,-20.9481
ASN00030160,144.9769,-19.0000
ASN00031009,144.8753,-15.8472
ASN00031034,145.5656,-17.2150
ASN00031122,145.1700,-17.0506
ASN00031129,145.0361,-15.3886
ASN00031155,145.3319,-14.9569
ASN00031166,145.7647,-16.9283
ASN00031167,145.7311,-17.4694
ASN00031168,145.6000,-17.5875
ASN00031189,145.5672,-16.6583
ASN00032028,145.6100,-18.1403
ASN00032064,146.2057,-19.0074
ASN00032100,144.8000,-18.4833
ASN00032102,145.7528,-17.9614
ASN00032104,145.3539,-19.0947
ASN00032146,145.9203,-17.9386
ASN00033031,148.8881,-20.0564
ASN00033056,149.0000,-21.4000
ASN00033065,149.5356,-22.3458
ASN00033070,147.5992,-20.1956
ASN00033083,149.0647,-22.1203
ASN00033087,149.0006,-21.5286
ASN00033094,148.2247,-20.0133
ASN00033114,148.9919,-21.7094
ASN00033129,150.1381,-22.7983
ASN00033139,146.1100,-19.4597
ASN00033144,148.7236,-20.4706
ASN00033147,148.1450,-20.1867
ASN00033153,147.9547,-20.2042
ASN00033155,150.3394,-22.8244
ASN00033157,148.5150,-20.3469
ASN00033163,150.6133,-22.7617
ASN00033179,148.7236,-21.0956
ASN00033202,149.6678,-22.5664
ASN00033203,149.0453,-20.9217
ASN00033248,149.5217,-22.9256
ASN00033257,148.2152,-20.0151
ASN00033260,150.9600,-23.1600
ASN00034017,146.1928,-20.9067
ASN00034060,148.5697,-21.7278
ASN00034084,146.2708,-20.0464
ASN00035014,149.9614,-26.1206
ASN00035059,148.6261,-24.4619
ASN00035065,148.0856,-24.1230
ASN00035069,146.2564,-24.8819
ASN00035070,149.7958,-25.6408
ASN00035115,149.7947,-25.6408
ASN00035120,148.8317,-25.3639
ASN00035123,149.4183,-25.9383
ASN00035153,148.1383,-22.9239
ASN00035164,146.4636,-23.4078
ASN00035165,146.6139,-24.0717
ASN00035170,148.9231,-23.1014
ASN00035174,149.2664,-24.4686
ASN00035182,149.6331,-25.6753
ASN00035188,147.4967,-24.6978
ASN00035196,148.6444,-23.0383
ASN00035197,148.1439,-23.7250
ASN00035200,146.1108,-24.7886
ASN00035202,149.7278,-25.0997
ASN00035204,148.8208,-24.0606
ASN00035209,148.4828,-24.4222
ASN00035212,148.0486,-23.8878
ASN00035228,147.9247,-22.8544
ASN00035242,150.1297,-25.8986
ASN00035258,147.5133,-22.2375
ASN00035272,149.7728,-25.7736
ASN00036025,143.6325,-24.2217
ASN00036055,146.1525,-22.6833
ASN00036073,144.1028,-22.7064
ASN00036083,146.5694,-22.7044
ASN00036084,147.1317,-22.8072
ASN00036090,146.0592,-23.1714
ASN00036092,144.8339,-22.4583
ASN00036095,146.0014,-21.8497
ASN00036096,145.8147,-21.7447
ASN00036101,145.6544,-23.4914
ASN00036113,144.4783,-23.8722
ASN00036118,144.2325,-24.1478
ASN00036126,144.1442,-24.7014
ASN00036127,143.8314,-24.6017
ASN00036130,143.7539,-24.3350
ASN00036133,144.5003,-25.7211
ASN00036134,145.0694,-24.3972
ASN00036135,145.2139,-24.4572
ASN00036140,143.8306,-24.7033
ASN00037000,142.4900,-22.1542
ASN00037002,143.3850,-22.8200
ASN00037011,138.6117,-21.9714
ASN00037025,143.8031,-21.5500
ASN00037046,142.4731,-22.2903
ASN00037078,141.5497,-22.3522
ASN00037097,143.1706,-23.3211
ASN00037106,139.9728,-21.8831
ASN00037107,139.9164,-21.7644
ASN00038006,140.3075,-23.7308
ASN00038010,138.8036,-22.9144
ASN00038015,140.5558,-24.8217
ASN00038044,140.3603,-23.2436
ASN00038050,140.9847,-25.2336
ASN00038052,139.9583,-23.0581
ASN00038058,142.9153,-25.3122
ASN00039011,151.9100,-24.8878
ASN00039073,151.2986,-25.5908
ASN00039085,153.2089,-24.7298
ASN00039100,152.0128,-24.5536
ASN00039145,150.4939,-24.6750
ASN00039149,150.2644,-24.6136
ASN00039158,150.0789,-24.9472
ASN00039198,152.6153,-25.1856
ASN00039207,152.2086,-25.2342
ASN00039211,151.2575,-25.0225
ASN00039220,151.6311,-24.6544
ASN00039221,152.4711,-24.9031
ASN00039224,150.5500,-25.3686
ASN00039236,150.9903,-25.1953
ASN00039242,150.6238,-23.4009
ASN00039244,150.8356,-25.2792
ASN00039266,152.3158,-25.0947
ASN00039278,150.7444,-24.8394
ASN00039285,151.9822,-24.4242
ASN00039303,152.2819,-25.2558
ASN00039311,150.4694,-24.8578
ASN00039314,151.8875,-24.1542
ASN00040014,153.0131,-28.0206
ASN00040015,153.1903,-28.1467
ASN00040118,152.6840,-26.6234
ASN00040272,152.9933,-25.9283
ASN00040302,152.1158,-27.6242
ASN00040312,152.9443,-27.7354
ASN00040319,153.3275,-27.7347
ASN00040326,152.9744,-27.4428
ASN00040388,152.2206,-27.6342
ASN00040390,152.6647,-25.6500
ASN00040397,152.1592,-27.6683
ASN00040460,153.2381,-27.6081
ASN00040469,152.3172,-25.8694
ASN00040480,152.1239,-27.2883
ASN00040485,152.5232,-28.2490
ASN00040488,153.0183,-27.4236
ASN00040490,152.5389,-28.2086
ASN00040492,152.5139,-26.6700
ASN00040496,153.1147,-26.7850
ASN00040499,151.2986,-26.2239
ASN00040512,152.9856,-27.6542
ASN00040517,152.7539,-27.1953
ASN00040523,152.5356,-28.2653
ASN00040530,152.9883,-27.5853
ASN00040550,153.2369,-28.2452
ASN00040561,152.8314,-26.5139
ASN00040583,153.0742,-28.2714
ASN00040633,152.9583,-27.2831
ASN00040674,152.2003,-26.6614
ASN00040677,152.6557,-28.1752
ASN00040686,152.8208,-26.1842
ASN00040688,152.4919,-25.9575
ASN00040717,153.5053,-28.1681
ASN00040721,152.0522,-26.0933
ASN00040842,153.1292,-27.3917
ASN00040856,153.0891,-25.9007
ASN00040951,152.9829,-27.6285
ASN00040965,153.0867,-27.2442
ASN00041015,150.8331,-27.6481
ASN00041016,151.2025,-27.5331
ASN00041082,151.6333,-27.7156
ASN00041109,151.8114,-28.0244
ASN00041127,151.0886,-27.8308
ASN00041140,151.2553,-27.1864
ASN00041168,151.3025,-26.7064
ASN00041187,150.9767,-27.0017
ASN00041197,150.8725,-27.3203
ASN00041236,151.1683,-27.2447
ASN00041244,151.3967,-27.1356
ASN00041249,151.3947,-28.0136
ASN00041257,151.1019,-27.2314
ASN00041264,151.0497,-26.8194
ASN00041304,151.7847,-28.3219
ASN00041323,152.2861,-28.0187
ASN00041338,151.8433,-28.8000
ASN00041340,151.0739,-28.4203
ASN00041347,151.0200,-28.7447
ASN00041371,151.6817,-28.4572
ASN00041376,151.3481,-28.5389
ASN00041395,150.4503,-28.1700
ASN00041405,151.7387,-27.7952
ASN00041413,151.5619,-28.3583
ASN00041438,152.0067,-28.3619
ASN00041454,151.9333,-28.8333
ASN00041459,151.0772,-26.4997
ASN00041483,151.2364,-26.6317
ASN00041493,150.4539,-27.4967
ASN00041504,151.4117,-27.7358
ASN00041509,150.3483,-27.6783
ASN00041510,151.9481,-27.4722
ASN00042003,149.1233,-28.2347
ASN00042034,150.0019,-27.1689
ASN00042045,150.1067,-26.4914
ASN00042075,150.8389,-26.1597
ASN00042082,150.6881,-26.0211
ASN00042087,150.1117,-28.2444
ASN00042091,150.8925,-26.4486
ASN00042102,150.1425,-27.9364
ASN00043035,149.0703,-27.1590
ASN00043037,149.0894,-26.2094
ASN00043052,149.4969,-27.0006
ASN00043053,148.5808,-28.0394
ASN00043059,148.4061,-26.1739
ASN00043081,149.1803,-26.9539
ASN00043082,148.5794,-27.1703
ASN00043093,148.5372,-26.6064
ASN00043106,148.1314,-26.5089
ASN00044006,146.4250,-25.8031
ASN00044009,146.9136,-27.2608
ASN00044011,147.6672,-26.8175
ASN00044016,146.7333,-25.7661
ASN00044047,147.6942,-26.4400
