id_weatherstation,name,date_install,last_data,Years,municipality_id,municipality_name,place,latitude,longitude,station_type,x_cords,y_cords,altitude,datalogger_type,sensors_count
1,ARICO_01,1996-09-10,2025-11-09,29.183561643835617,38005,Arico,Los Llanos de San Juan,28.131,-16.472139,A,355400,3112604,135.0,DL15 estacion,6
2,GALLETAS,1996-08-20,2025-11-09,29.24109589041096,38006,Arona,La Cañada Verde,28.0406074763221,-16.653235658342055,A,337498,3102802,95.0,DL15 estacion,6
5,GUIAIS01,1996-08-19,2025-11-09,29.243835616438357,38019,Guía de Isora,Guía  de Isora,28.191165,-16.779196,A,324373,3122251,476.0,DL15 estacion,6
7,OROTAV01,1996-08-16,2025-11-09,29.252054794520546,38026,La Orotava,El Rincón,28.40657674111988,-16.514323028739682,B,351661,3143174,214.0,DL15 estacion,6
9,HELECHO1,1997-11-13,2025-11-09,28.008219178082193,38005,Arico,El Helecho,28.216946,-16.490603,B,353719,3122139,930.0,DL15 estacion,6
10,RAVELO01,1998-05-29,2025-11-09,27.46849315068493,38041,El Sauzal,Ravelo,28.454984,-16.409038,B,362091,3148289,922.0,DL15 estacion,6
11,TEJINA01,1998-05-29,2025-11-09,27.46849315068493,38023,San Cristóbal de La Laguna,La Barranquera,28.53235755880462,-16.39553829079091,A,363460,3156971,69.0,DL15 estacion,6
12,GUAN1HA1,1998-05-29,2025-11-09,27.46849315068493,38022,Icod de los Vinos,Guincho,28.37903962361776,-16.734752238544502,B,330020,3140415,17.0,DL15 estacion,6
13,VILAFLOR,1999-02-10,2025-11-09,26.764383561643836,38052,Vilaflor,El Frontón ,28.14421887515193,-16.62806642189878,B,340126,3114250,1258.0,DL15 estacion,6
54,TOPONEGR,2003-06-30,2025-11-09,22.378082191780823,38020,Güímar,Topo Negro,28.326394,-16.405642,C,362210,3134158,280.0,DL15 estacion,5
55,ABONACOP,2003-02-05,2025-11-09,22.775342465753425,38005,Arico,Coop. Cumbres de Abona,28.172219,-16.488439,C,353849,3117213,410.0,DL15 estacion,6
56,TEGUESTE,2003-02-11,2025-11-09,22.75890410958904,38046,Tegueste,Llanos de San Ignacio,28.507142,-16.358632,C,367096,3154122,400.0,DL15 estacion,6
57,LLANITOP,2003-02-12,2025-11-09,22.756164383561643,38022,Icod de los Vinos,Llanito Perera,28.364708,-16.694771,C,334646,3138781,475.0,DL15 estacion,5
58,RATINO 01,2003-02-21,2025-11-09,22.731506849315068,38026,La Orotava,El Ratiño,28.38042984063693,-16.54181014731114,C,348931,3140312,380.0,DL15 estacion,5
60,ELVIENTO,2022-03-03,2025-11-09,3.6904109589041094,38020,Güímar,Güímar,28.298157,-16.388571,D,363842,3131013,78.0,DLx estacion,2
61,ANAVISTH,2004-04-22,2025-11-09,21.564383561643837,38004,Arafo,Añavingo,28.34192236243308,-16.433264104157388,C,359517,3135914,700.0,DL15 estacion,5
62,TRIGOTH,2004-04-22,2025-11-09,21.564383561643837,38042,Los Silos,Tierra del Trigo,28.35145,-16.8034521,C,323244,3137463,450.0,DL15 estacion,5
63,URSULATH,2004-04-22,2025-11-09,21.564383561643837,38039,Santa Úrsula,Los Castaños,28.41046666964356,-16.49470829470704,C,353588,3143582,550.0,DL15 estacion,5
64,HOYOSTH,2004-04-22,2025-11-09,21.564383561643837,38040,Santiago del Teide,Valle de Arriba ,28.30537451512538,-16.80554495238232,C,322961,3132354,990.0,DL15 estacion,5
65,PALMATH,2004-04-22,2025-11-09,21.564383561643837,38010,Buenavista del Norte,Los Pedregales,28.3370310306053,-16.852060071376172,C,318453,3135931,556.0,DL15 estacion,5
66,TACORTH,2004-04-27,2025-11-09,21.55068493150685,38043,Tacoronte,El Escaño,28.475146,-16.393598,C,363576,3150629,694.0,DLx estacion,6
67,MATANTH,2004-03-23,2025-11-09,21.646575342465752,38025,La Matanza de Acentejo,Cruz del Camino,28.4494524261844,-16.4379904049174,C,359196,3147834,650.0,DL15 estacion,5
68,VICTOTH,2004-06-15,2025-11-09,21.416438356164385,38051,La Victoria de Acentejo ,El Lomo,28.42115686071251,-16.450062556789703,C,357976,3144713,825.0,DL15 estacion,5
69,SUERTETH,2004-05-25,2025-11-09,21.473972602739725,38026,La Orotava,La Suerte,28.37287519265395,-16.541874347900148,C,348914,3139475,551.0,DL15 estacion,5
70,BENIJTH,2004-05-07,2025-11-09,21.523287671232875,38026,La Orotava,Benijos,28.36148455137196,-16.546749854091445,C,348420,3138219,906.0,DL15 estacion,5
71,PALOBTH,2004-05-06,2025-11-09,21.526027397260275,38031,Los Realejos,Palo Blanco,28.368476,-16.577253,C,345375,3139052,595.0,DL15 estacion,5
73,REDONTH,2004-04-25,2025-11-09,21.556164383561644,38022,Icod de los Vinos,Redondo,28.35107,-16.698333,C,332578,3137523,525.0,DL15 estacion,5
74,CHIOTH,2004-05-19,2025-11-09,21.49041095890411,38019,Guía de Isora,Chío,28.2333391114064,-16.789239397517463,C,324442,3124348,735.0,DL15 estacion,5
75,GUIATH,2004-04-15,2025-11-09,21.583561643835615,38019,Guía de Isora,Los Llanitos,28.22306443725068,-16.752673019760095,C,328014,3123157,1032.0,DL15 estacion,5
76,POZOTH,2004-04-16,2025-11-09,21.58082191780822,38019,Guía de Isora,El Pozo,28.200183,-16.763093,C,326949,3120648,700.0,DL15 estacion,5
77,PINALTH,2004-05-13,2025-11-09,21.506849315068493,38017,Granadilla de Abona,El Pinalete,28.12699883284683,-16.60589806308758,C,342278,3112313,850.0,DL15 estacion,5
78,SMIGTH,2004-06-08,2025-11-09,21.435616438356163,38017,Granadilla de Abona,Charco de El Pino,28.098973,-16.584506,C,344478,3109181,505.0,DL15 estacion,5
80,BADAJTH,2004-07-07,2025-11-09,21.356164383561644,38020,Güímar,Barranco de Badajoz,28.301448,-16.426582,C,360163,3131456,430.0,DL15 estacion,5
81,MENATH,2004-07-13,2025-11-09,21.339726027397262,38020,Güímar,Lomo de Mena,28.271507,-16.416243,C,361088,3128091,518.0,DL15 estacion,5
82,URSUMEDI,2007-06-11,2025-11-09,18.427397260273974,38039,Santa Úrsula,Las Tierras,28.41757566953651,-16.47759686235713,C,355274,3144349,530.0,DL15 estacion,6
83,URSUBAJA,2007-06-11,2025-11-09,18.427397260273974,38039,Santa Úrsula,Malpaís,28.43283199529333,-16.49047916257109,C,354033,3146055,205.0,DL15 estacion,6
85,ICOR,2007-06-28,2025-11-09,18.38082191780822,38005,Arico,ICOR,28.20762186064576,-16.456562015410327,B,357054,3121061,381.0,DLx estacion,6
86,ELROSARIO,2009-04-06,2025-11-09,16.605479452054794,38032,El Rosario,La Esperanza,28.457313,-16.338353,C,368961,3148589,655.0,DL15 estacion,5
87,AGUAMANSA_MA,2009-04-17,2025-11-09,16.575342465753426,38026,La Orotava,Aguamansa,28.361545,-16.497018,D,353295,3138163,1065.0,DLx estacion,6
88,GAITERO_MA,2009-09-18,2025-11-09,16.153424657534245,38051,La Victoria de Acentejo ,Montaña Gaitero,28.39470099050659,-16.43330078875124,D,359583,3141762,1744.0,DLx estacion,6
89,CHAVAO_MA,2009-09-18,2025-11-09,16.153424657534245,38019,Guía de Isora,Montaña Chavao,28.21981767214626,-16.705394975369472,D,332649,3122731,2071.0,DLx estacion,6
90,PICACHO_MA,2009-11-26,2025-11-09,15.964383561643835,38005,Arico,Montaña Picachos,28.22425625456441,-16.52116740178451,D,350736,3122982,1654.0,DLx estacion,6
91,GALECUBO_N,2010-01-28,2025-11-09,15.791780821917808,38044,El Tanque,Ruigomez,28.347598,-16.794801,D,324084,3137017,880.0,DLx estacion,6
92,SANTA_CRUZ,2010-06-01,2025-11-09,15.452054794520548,38038,Santa Cruz de Tenerife,Cruz del Señor,28.46244764772391,-16.27327781540953,D,375341,3149092,136.0,DLx estacion,6
93,HOYA_GRANDE,2010-06-24,2025-11-09,15.389041095890411,38001,Adeje,Hoya Grande,28.14268790447368,-16.779473272010705,A,325253,3114289,130.0,DL15 estacion,6
94,TOPO_MA,2010-07-29,2025-11-09,15.293150684931506,38052,Vilaflor,Los Topos,28.17188024705654,-16.65146131618019,D,337870,3117346,1833.0,DLx estacion,6
95,ALCALA,2011-01-25,2025-11-09,14.8,38019,Guía de Isora,Alcalá,28.21102835862745,-16.829648714442442,B,320439,3121935,30.0,DL15 estacion,6
96,ARAYA,2011-04-01,2025-11-09,14.61917808219178,38011,Candelaria,Araya,28.37049730657404,-16.39747556920929,D,363062,3139039,525.0,DLx estacion,6
97,TAGANANA,2011-06-24,2025-11-09,14.389041095890411,38038,Santa Cruz de Tenerife,Los Chorros ,28.5599059971053,-16.227997409615455,C,379887,3159844,300.0,DLx estacion,6
98,DRAGO,2011-09-01,2025-11-09,14.2,38022,Icod de los Vinos,El Drago,28.36683634224936,-16.72233004421264,D,331219,3139045,220.0,DLx estacion,6
101,IGUESTE,2011-09-01,2025-11-09,14.2,38038,Santa Cruz de Tenerife,Igueste,28.53230409888186,-16.157322322606888,C,386769,3156717,75.0,DLx estacion,6
102,BVISTA02,2013-03-01,2025-11-09,12.7013698630137,38010,Buenavista del Norte,Las Animas,28.38136007035851,-16.84592194819379,D,319130,3140834,66.0,DLx estacion,6
103,SILOS,2013-06-18,2025-11-09,12.402739726027397,38042,Los Silos,El Polvillo,28.37600361069772,-16.82226160045161,A,321439,3140205,50.0,DL15 estacion,6
105,BAILADERO,2014-02-14,2025-11-09,11.742465753424657,38038,Santa Cruz de Tenerife,El Bailadero,28.55019174614773,-16.200384965240573,C,382575,3158740,720.0,DLx estacion,6
106,REALETH_N,2015-02-23,2025-11-09,10.717808219178082,38032,El Rosario,Icod El Alto,28.372963,-16.613027,C,341820,3139577,800.0,DLx estacion,6
181,ERES,2018-03-01,2025-11-09,7.698630136986301,38012,Fasnia,Los Roques,28.229661,-16.41734500000007,C,360931,3123460,105.0,DLx estacion,6
190,LAGUNA,2018-06-19,2025-11-09,7.397260273972603,38023,San Cristóbal de La Laguna,La Laguna,28.477917,-16.319435999999996,C,370823,3150858,559.0,DLx estacion,6
194,LaQuinta,2020-11-02,2025-11-09,5.021917808219178,38015,Garachico,Garachico,28.372605,-16.773251,D,326236,3139740,40.0,Campbell CR1000X estación,6
198,Imetos_Ravelo,2022-04-25,2025-11-09,3.5452054794520547,38041,El Sauzal,Ravelo Bajo,28.463056,-16.421888,E,360790,3149322,713.0,iMetos estación,5
199,Imetos_Tacoronte,2022-04-25,2025-11-09,3.5452054794520547,38043,Tacoronte,San Juan,28.477069,-16.420818,E,360913,3150873,455.0,iMetos estación,5
201,Imetos_Trevejos,2022-04-27,2025-11-09,3.5397260273972604,38052,Vilaflor,Trevejos,28.14077,-16.65483,E,337492,3113903,1276.0,iMetos estación,5
204,Imetos_Mazape,2022-09-24,2025-11-09,3.128767123287671,38034,San Juan de la Rambla,Mazape,28.385072,-16.642024,E,339117,3140956,381.9,iMetos estación,5
